epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.2802590859264135,0.9091166666666667,0.06090048036510125,0.9793,0.01
2,0.06712390735298396,0.9797,0.05711819532727823,0.9807,0.01
3,0.051114675209795436,0.9843833333333334,0.03885787429045886,0.9872,0.01
4,0.04226759531951199,0.9867833333333333,0.04945548760760576,0.9845,0.01
5,0.03720042384114737,0.9880833333333333,0.03610702185755363,0.9883,0.01
6,0.03228108359385903,0.99015,0.03256183085255325,0.9901,0.01
7,0.02863472738418107,0.9913,0.03205666196080856,0.9896,0.01
8,0.02570601785344382,0.9918333333333333,0.03389172069260385,0.9894,0.01
9,0.02446711478762639,0.99205,0.039383046965429096,0.9867,0.01
10,0.02285504619991407,0.9929333333333333,0.03997272579348646,0.989,0.01
11,0.020331577296058338,0.9934333333333333,0.035503031418524914,0.9898,0.01
12,0.019153661955450662,0.9937166666666667,0.03569365598553559,0.9885,0.01
13,0.017651653769996483,0.9942666666666666,0.03452500056061836,0.9899,0.01
14,0.016452651667412527,0.9945666666666667,0.04727326670293405,0.9866,0.01
15,0.015574703775711048,0.9947166666666667,0.03709942946369119,0.9892,0.01
