epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.11211321636041005,0.9643333333333334,0.04823801632784307,0.9835,0.05
2,0.04878962233302494,0.9849333333333333,0.04539330071303994,0.985,0.05
3,0.03940420671142638,0.9878166666666667,0.041623795310128484,0.9853,0.05
4,0.0334104289433298,0.9890166666666667,0.02873498798450455,0.9907,0.05
5,0.027634590338170527,0.9912333333333333,0.03679900226434693,0.9892,0.05
6,0.023801026999034608,0.9921166666666666,0.02850891014111694,0.9913,0.05
7,0.02230943107488565,0.9926833333333334,0.031400186465130535,0.9902,0.05
8,0.02011863561772431,0.9935,0.026493070733139758,0.9917,0.05
9,0.016170035688222076,0.99455,0.030972717555260168,0.9916,0.05
10,0.017062991335627158,0.9945,0.030790842193824938,0.9904,0.05
11,0.015848963792202995,0.9946,0.030255441760283427,0.9915,0.05
12,0.01428522794667709,0.9950666666666667,0.02872973988889971,0.9922,0.05
13,0.011641771199796737,0.9960833333333333,0.03407153147374265,0.9911,0.05
14,0.011975346648927855,0.9961333333333333,0.03353823936945191,0.992,0.05
15,0.010853885424573674,0.9963333333333333,0.02803573762873448,0.9921,0.05
