epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.4923034140745799,0.8415833333333333,0.0992829181343317,0.971,0.05
2,0.20402504059473672,0.9366166666666667,0.0668066292077303,0.9804,0.05
3,0.16619732249975205,0.9472,0.05692121479809284,0.9827,0.05
4,0.14479412750403087,0.9547666666666667,0.05431484477780759,0.9835,0.05
5,0.13255112159748872,0.9587666666666667,0.052867471040040255,0.9852,0.05
6,0.12199653461972873,0.9618333333333333,0.04452561670020223,0.9869,0.05
7,0.11591264543831348,0.9627333333333333,0.04389700616635382,0.9858,0.05
8,0.10710495630800725,0.96595,0.03644587587378919,0.9891,0.05
9,0.1057317536820968,0.9664666666666667,0.03963327127415687,0.9872,0.05
10,0.10066849379142126,0.9678,0.03427722222013399,0.9895,0.05
11,0.09786230160097281,0.9692833333333334,0.03665868329741061,0.9885,0.05
12,0.0942386741499106,0.9703,0.03486716077234596,0.989,0.05
13,0.09365061344603698,0.97015,0.03444805644452572,0.9896,0.05
14,0.08886103684206803,0.9721666666666666,0.03260336238741875,0.9895,0.05
15,0.08785823347866535,0.9728833333333333,0.030358670568373054,0.9899,0.05
