epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.3731176312988003,0.8780833333333333,0.11516803972516208,0.965,0.05
2,0.15093792840143044,0.95565,0.1002767190527171,0.9697,0.05
3,0.13345726171707115,0.9601333333333333,0.07974147839322686,0.9756,0.05
4,0.1254520985285441,0.962,0.08598528974941,0.9731,0.05
5,0.11565553001910447,0.9657833333333333,0.07147065196186304,0.9771,0.05
6,0.10893846032470465,0.9675666666666667,0.07763882891777903,0.9753,0.05
7,0.10551784418622653,0.96775,0.06157244703979231,0.9798,0.05
8,0.10066079231103262,0.9698,0.07141087888274342,0.9769,0.05
9,0.10057042934497197,0.9688,0.06430477645555512,0.9812,0.05
10,0.10257460534647107,0.9690166666666666,0.06991167481280863,0.9771,0.05
11,0.09606337533220649,0.9705,0.06287704692576081,0.9817,0.05
12,0.0947846744850278,0.9710833333333333,0.06381000664439053,0.9815,0.05
13,0.0923865472887953,0.9719,0.06047568280510605,0.9819,0.05
14,0.09328522203862667,0.9714666666666667,0.072561899202317,0.9776,0.05
15,0.08932178375646473,0.9727666666666667,0.06297008348274977,0.9798,0.05
