epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.466806356994311,0.8537,0.19983237800598144,0.9407,0.05
2,0.14740306674838066,0.9549333333333333,0.12378607040792704,0.9637,0.05
3,0.11768218022584916,0.9644333333333334,0.1076670334637165,0.9653,0.05
4,0.10342493789941072,0.9688166666666667,0.10868224221616983,0.9666,0.05
5,0.09451867295453946,0.9706,0.07353229103237391,0.9758,0.025
6,0.07248092679679394,0.97765,0.06244820215664804,0.9799,0.025
7,0.07196366698741913,0.9777166666666667,0.05373631378058344,0.9827,0.025
8,0.06932204540520906,0.9783,0.061926421483233574,0.9798,0.025
9,0.067657961170127,0.9793666666666667,0.059449504731595514,0.9816,0.025
10,0.06550029581387838,0.9795666666666667,0.0517670335855335,0.9824,0.0125
11,0.056660480523233615,0.9823166666666666,0.04490579951973632,0.986,0.0125
12,0.05653463708559672,0.9824,0.04841328709181398,0.9842,0.0125
13,0.054837709104269744,0.9830833333333333,0.04743033803366124,0.9834,0.0125
14,0.055697276270389555,0.9824166666666667,0.04955403307173401,0.9846,0.0125
15,0.056455330422023935,0.98235,0.05034000983331353,0.9839,0.00625
