epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.2528218567013741,0.9234,0.04818061156757176,0.9841,0.05
2,0.09127730054905017,0.9719666666666666,0.03403885344071314,0.9892,0.05
3,0.0749562462841471,0.9758,0.03195656851492822,0.9901,0.05
4,0.06344926539982358,0.9804333333333334,0.027416790947224944,0.9915,0.05
5,0.0604716530452172,0.9813666666666667,0.02607593652540818,0.992,0.05
6,0.05533509685570995,0.9825166666666667,0.023502212730515747,0.9923,0.05
7,0.054013490771874784,0.9827833333333333,0.022670383735606446,0.9919,0.05
8,0.04993369327088197,0.9841,0.021995086060883476,0.9927,0.05
9,0.049758295717462896,0.98495,0.023061019979370757,0.9922,0.05
10,0.044101406187315784,0.9860833333333333,0.022517924862494692,0.9924,0.05
11,0.04468572811353952,0.98595,0.019906071141315623,0.9934,0.05
12,0.042994141881664595,0.9866,0.01840917174287606,0.9944,0.05
13,0.04363333611575266,0.98635,0.022048574306920636,0.9937,0.05
14,0.040774186695118744,0.98765,0.019186897627217696,0.9938,0.05
15,0.0399473395248875,0.9873,0.020510270667634903,0.9941,0.05
