epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.34925858249266944,0.8926333333333333,0.10329399509578943,0.9698,0.05
2,0.09377153164694707,0.9722,0.20022058219015598,0.937,0.05
3,0.07666932530502478,0.97675,0.05533343277946114,0.9837,0.05
4,0.06499313599343101,0.9802833333333333,0.10140153965875506,0.9665,0.05
5,0.059124448565393686,0.98205,0.052353857656847684,0.9843,0.025
6,0.04463426370024681,0.9864666666666667,0.035322486196784304,0.9884,0.025
7,0.040642093173911174,0.9874,0.03488334763972089,0.9887,0.025
8,0.04024749465572337,0.9877166666666667,0.03542764120982028,0.9882,0.025
9,0.03849343949270745,0.9876166666666667,0.031402769228443504,0.9905,0.025
10,0.03753267398240666,0.9884333333333334,0.02939008710938506,0.992,0.0125
11,0.03144980652046701,0.9904666666666667,0.0276370043347124,0.9912,0.0125
12,0.031111670479178427,0.9900166666666667,0.028755278220959007,0.9913,0.0125
13,0.029788854758099965,0.9909166666666667,0.02799002131463494,0.9909,0.0125
14,0.028987115707372627,0.9907833333333333,0.02691977095969487,0.9924,0.0125
15,0.02813805705557267,0.9908333333333333,0.0314366180928424,0.9909,0.00625
