epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.3543508924881617,0.8881666666666667,0.056550996473431585,0.9835,0.05
2,0.13901168297727903,0.956,0.04138660662509501,0.988,0.05
3,0.11387532958984375,0.9637833333333333,0.034136853360012175,0.9889,0.05
4,0.10123172096312046,0.96815,0.03085318858064711,0.9907,0.05
5,0.09327020282521845,0.9713,0.03063296369984746,0.9908,0.05
6,0.0862147001909713,0.9732666666666666,0.029876585509907454,0.9917,0.05
7,0.08348831174373626,0.9751333333333333,0.030048199545033277,0.9916,0.05
8,0.0821817741488417,0.9745666666666667,0.0255161112931557,0.9924,0.05
9,0.08155313755522171,0.9746166666666667,0.024193243460729718,0.9929,0.05
10,0.07621594350039959,0.97635,0.027017126824520527,0.9917,0.05
11,0.07504497924248378,0.9762833333333333,0.024829967967886477,0.9924,0.05
12,0.0737758016941448,0.9775333333333334,0.025189057296328247,0.9931,0.05
13,0.07268408454805612,0.9773666666666667,0.022065491631720214,0.9935,0.05
14,0.07129843886593977,0.9776,0.02347745234039612,0.9927,0.05
15,0.06933758637507756,0.9779,0.023727337774029002,0.9931,0.05
