epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.3569721668879191,0.8877,0.054281441749632356,0.9831,0.05
2,0.14116511753499508,0.95625,0.0387977310564369,0.9881,0.05
3,0.11741757063269616,0.9638,0.033086841125786304,0.9892,0.05
4,0.10415831878483295,0.9678166666666667,0.02863391639534384,0.9917,0.05
5,0.09402357898006837,0.9714,0.029059506556438283,0.9907,0.025
6,0.08188558248132467,0.9742333333333333,0.025049814491765573,0.9918,0.025
7,0.08041059121191502,0.9751666666666666,0.023213284986605867,0.9927,0.025
8,0.07577096221993367,0.9766833333333333,0.023250564078474416,0.9925,0.025
9,0.0755331128830711,0.9762833333333333,0.024429841375863178,0.9921,0.025
10,0.07605849892919263,0.9765666666666667,0.022562587679922582,0.9921,0.0125
11,0.06907932700787982,0.9792,0.020718682249030097,0.9938,0.0125
12,0.06646105120703578,0.9796,0.020372076936112718,0.9941,0.0125
13,0.0677608503818512,0.9790666666666666,0.020684630419779568,0.9937,0.0125
14,0.06693651087333759,0.97915,0.019687439832952805,0.994,0.0125
15,0.064906950857987,0.9801333333333333,0.022255946888867766,0.993,0.00625
