epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.32517700705925623,0.8995333333333333,0.04861223547793925,0.9839,0.05
2,0.12973551236788433,0.9587,0.03685237807501107,0.9883,0.05
3,0.10454944243679444,0.96755,0.03454960177084431,0.9883,0.05
4,0.09582110759317874,0.9708333333333333,0.03143741511926055,0.9901,0.05
5,0.0867334667702516,0.9742333333333333,0.027857152049615978,0.9913,0.025
6,0.07342546100815137,0.9768333333333333,0.024666579032829032,0.9921,0.025
7,0.07211250430246194,0.9781333333333333,0.023187268375465645,0.9926,0.025
8,0.06788532845005393,0.9787166666666667,0.023583144613634796,0.9931,0.025
9,0.06667144439692299,0.9794833333333334,0.023151159328315407,0.9927,0.025
10,0.06358178333540758,0.9805,0.023878008979465813,0.9923,0.0125
11,0.06118378054474791,0.9807166666666667,0.021898427621508017,0.9936,0.0125
12,0.05774471172168851,0.9821333333333333,0.02173294624434784,0.9933,0.0125
13,0.05679409167592724,0.9815333333333334,0.020862328864540904,0.9937,0.0125
14,0.0574233357531329,0.98195,0.022451464812783525,0.9934,0.0125
15,0.057078530377149585,0.9822666666666666,0.02038745067496784,0.9941,0.00625
