exp_name,params,best_test_acc,best_epoch,final_test_acc,epochs,train_time_sec,augment,optimizer,lr,use_steplr
m3_capacity,12004,0.9944,12,0.9941,15,161.80918622016907,False,sgd,0.05,False
m3_poolfix_steplr,7926,0.9941,15,0.9941,15,156.6557195186615,False,sgd,0.05,True
m3_poolfix_aug_steplr,7926,0.9941,12,0.993,15,179.81299138069153,True,sgd,0.05,True
m3_poolfix_aug,7926,0.9935,13,0.9931,15,183.72609281539917,True,sgd,0.05,False
m1_big,457066,0.9926,15,0.9926,15,147.6517617702484,False,sgd,0.01,False
m3_poolfix,7926,0.9924,13,0.9918,15,157.06262826919556,False,sgd,0.05,False
m3_depthwiseConv_aug_steplr,7332,0.9924,14,0.9909,15,155.54787921905518,True,sgd,0.05,True
m2_light_bn,10970,0.9922,12,0.9921,15,130.9919135570526,False,sgd,0.05,False
m2_light_bn_do,10970,0.9918,9,0.9904,15,139.12986207008362,False,sgd,0.05,False
m1_skeleton,195352,0.9905,10,0.9899,15,152.21104860305786,False,sgd,0.01,False
m1_light,8738,0.9901,6,0.9892,15,131.55599403381348,False,sgd,0.01,False
m2_light_bn_do_gap,6060,0.9899,15,0.9899,15,141.69182872772217,False,sgd,0.05,False
m2_light_do,10880,0.9819,13,0.9798,15,136.04549765586853,False,sgd,0.05,False
